# Backoff Power Limit Table (unit is 1 dBm, resolution level is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch10,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30,26,23,30,30,26,30,30,30,30,30
Ch11,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
Ch12,30,30,30,30,26,23,30,30,23,30,30,26,23,30,30,26,30,30,30,30,30,23,30,30,26,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
Ch13,30,30,30,30,24,21,30,30,21,30,30,25,22,30,30,25,30,30,30,30,30,22,30,30,25,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
Ch14,30,30,30,30,24,21,30,30,21,30,30,25,22,30,30,25,30,30,30,30,30,22,30,30,25,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,20,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30,23,20,30,30,23,30,30,30,30,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 5G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch184,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch188,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch192,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch196,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch8,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch36,30,30,30,30,19.5,16.5,30,30,16.5,30,30,18,15,30,30,18,30,30,30,30,30,15,30,30,18,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30,18.5,15.5,30,30,18.5,30,30,30,30,30
Ch40,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch44,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch48,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch52,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch56,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch60,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch64,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch68,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch72,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch76,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
Ch80,30,30,30,30,19.5,16.5,30,30,16.5,30,30,19,16,30,30,19,30,30,30,30,30,16,30,30,19,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,19.5,16.5,30,30,19.5,30,30,30,30,30,16.5,30,30,19.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30,19,16,30,30,19,30,30,30,30,30
