# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch10,10.5,11.5,15.5,18,16,12,19.5,15,11,19,13.5,11.5,18.5,17.5,12.5,15,14.5,15,11,17.5,12,12,14,12,10,14,17.5,10,16,18.5,12.5,19,19,17.5,14.5,15,15,16.5,18,10.5,16,17,11.5,15,17.5,12,19,17,19,13.5,10.5,17,15,11,19,15,11,16,19,17.5,15,19,10.5,19,11.5,10.5,17.5,14,15,16.5,17,16.5,16,12,19.5,14,19.5,17.5,18,17.5,10.5,15,19,11.5,16,16.5,15.5,17,19,19,14,12.5,11.5,17,13.5,11,18.5,16,10,14.5,13.5,11.5,11,12.5,10,17.5,12.5,19,18.5,14.5,17.5,10.5,10.5,13,11,17,14.5,11.5,12.5,13,18,13.5,18,18,19.5,11,10,16.5,17,13,12,14.5,14,13,13,11,17,14.5,17,19.5,13.5,19.5,11.5,19,17.5,10,12
Ch11,15,10.5,15,18,10.5,15,16,10.5,19,17,16.5,15.5,12,19.5,19.5,19.5,14.5,15.5,11,14,16.5,19,16,14.5,12,17.5,17.5,14.5,18,17.5,18.5,17,12.5,10.5,14,11.5,15,13,11.5,13,16.5,10,17,18.5,18,19.5,11,13,13.5,13,19,19.5,12.5,18.5,13,16,19,18,12,17.5,11.5,19,17.5,18.5,13.5,18.5,13,11,11.5,18,13.5,13,14.5,18,14,15.5,18,18.5,12,12.5,18,19,15,10,13.5,11,14.5,13,19.5,11,16,13.5,13.5,10.5,18,16.5,13.5,14,19.5,10.5,13.5,10.5,15.5,12.5,17.5,15,14.5,14.5,10,10,12,17,10.5,10,13.5,13,14,14,14.5,16.5,10.5,15.5,12,16,10.5,11.5,14.5,19.5,14.5,18.5,14.5,19.5,17.5,19,12.5,17.5,12.5,19.5,15.5,15,13.5,19.5,13,18,19,13,10
Ch12,16.5,14.5,10,13.5,18,15.5,10,15,13.5,14.5,15.5,14.5,11.5,19,15,11.5,17.5,11,18.5,13,12,14,19.5,13,10,17,15.5,14,16,17.5,16,14,10.5,15,19.5,17,11,15,13.5,13,12.5,12.5,11.5,12.5,18.5,12.5,16.5,19.5,17.5,12.5,11.5,17.5,14.5,17.5,10,11.5,19.5,18,12,12.5,12.5,10,10.5,12.5,14.5,18.5,14.5,11,17,10.5,15,17,12,12,12,16,11.5,15.5,14.5,18.5,12.5,18.5,17.5,15.5,15,19.5,19.5,10.5,17,17,19.5,13.5,17.5,15.5,10.5,17.5,13,19.5,12.5,16,13,14,17.5,16,10.5,18,15,13.5,15,19.5,10,10.5,17,16,12,11,18.5,12.5,17.5,13,17,17,16,16.5,19.5,13,18.5,13.5,15.5,12.5,14,10,11,13,16.5,16.5,19.5,10.5,18.5,16,19,17,11,11,18,10.5,10
Ch13,15.5,11.5,12.5,14,19,11,14.5,16,17.5,11,11,12.5,10.5,11.5,15,13.5,16.5,16.5,12.5,10,11,11,15,16.5,17,12,12.5,17,10,11,10,11,11.5,10,19.5,16,15,12,12.5,11,11,10.5,16,10.5,16,10,15,17.5,14.5,14,11.5,13.5,12.5,19.5,10,11.5,13.5,18,15,15.5,16,15.5,17,16.5,13.5,18,11,10,12.5,11.5,17,13,18.5,13,16,18.5,18,15.5,16,12.5,11.5,19.5,10,14,18.5,10.5,16,19,16,19,15,12.5,15.5,14,14,12.5,14,10,11,19.5,17.5,18,10,16,11,14.5,19,17,18,16,17.5,17,11,10,19,13,17,19,10.5,19,16,10,10.5,17,19,10.5,12.5,13,18.5,14,18,15.5,10.5,18,15.5,13.5,15,18,17.5,16.5,10,11.5,10,10.5,13,12.5,13
Ch14,11,15.5,13,14.5,10,15.5,18.5,15.5,17,11,13,14.5,19.5,12,14,16.5,19.5,16,10.5,18,16.5,19.5,11,17,14,14.5,13.5,18.5,15,13.5,14.5,16.5,12.5,11.5,16.5,13,13.5,17,17,17,12,17.5,18,17,10.5,14.5,18.5,19,13,13,18,13,18.5,13,10,18,10.5,15,15,18,12,11,13.5,16,14.5,18,18,18.5,12,16.5,16.5,13.5,12.5,13.5,14.5,19.5,18.5,15,16.5,14.5,14.5,18,16,14.5,18,12.5,19.5,18,19.5,19,16,17,13.5,14,16.5,13,19.5,12,13.5,17,17.5,15.5,12,16,13,10,15,15.5,10,13.5,19.5,16,15,18.5,18,14,18,14,12.5,12.5,10.5,10,14.5,18,11.5,18.5,13,12,18,16,16.5,15.5,13.5,18,12.5,19,13.5,19.5,18,19.5,15.5,18.5,14,16,19,13,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 5G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch184,13,15.5,15.5,17.5,10.5,11.5,15.5,14.5,14.5,10.5,19.5,16,19,19.5,10.5,19.5,12,13,16.5,10.5,13,15,17,10,14.5,13.5,15,17.5,14.5,14,15.5,15.5,17.5,10,12,18.5,14.5,12,14,15.5,17.5,18.5,14.5,16.5,16,17,16,19,10.5,19,11,18.5,19,19.5,14.5,16.5,14.5,17.5,16,19.5,12,11.5,10.5,13.5,18.5,15.5,13,13.5,12,15.5,12.5,19.5,15.5,18,11,14.5,12,11,11.5,13.5,15.5,14.5,14.5,17.5,14.5,17.5,19.5,19,17.5,19.5,16,14,10,16,11.5,10,13.5,12,19.5,16,17.5,14.5,15,19.5,11,19,16,15,15.5,16.5,13,16.5,19.5,14,14.5,10,19,13,13.5,16,12,10,19.5,17.5,17,13,19,18,11.5,19,16.5,14.5,10,17.5,14,15,12,10.5,10,19,13,11.5,19.5,12.5,15.5,16.5,18
Ch188,18,16,18.5,17,12,11.5,19,18.5,14,18.5,11,10.5,17,12,15.5,17.5,13.5,11.5,15.5,16.5,17,18.5,18,14.5,15.5,17.5,11.5,19,16,10.5,13.5,16.5,14,12,11.5,17.5,17.5,14.5,10,15,12.5,13,12.5,15.5,19,11.5,11.5,15.5,11.5,10.5,18.5,18.5,10,15,18,10,12.5,13.5,12,19.5,16,16.5,17,18.5,19.5,19.5,13,12.5,10.5,14,14.5,12.5,12.5,19,12.5,10,13.5,16.5,10,14,17.5,11.5,16,10.5,11.5,16.5,17,12.5,18,18.5,14,13,12.5,19.5,15,17.5,15,10,14,18.5,13,16,10.5,10.5,17,13,16.5,17,15.5,18.5,19.5,14,13.5,17.5,17,10,14.5,14,14,12.5,16.5,17.5,14,17,18.5,12,14,11.5,16,14.5,10,16.5,17,16,13,19,13,10.5,10,17.5,15.5,16.5,13,14,15,12,10.5
Ch192,14,15,18.5,18,19.5,10,11.5,17,10,15,17,14,16.5,13.5,13,17.5,19,16.5,19,13,16,19,19,10,10.5,13,18.5,14.5,13,17,17.5,12.5,10,18.5,17.5,17.5,18.5,14.5,12.5,16,11,17,12.5,18.5,19.5,13.5,19,15,13.5,19.5,11.5,10,17,18.5,15,17.5,15.5,18,16.5,13,18.5,16.5,17.5,11.5,11,12,16,17.5,14,10.5,12,14,14.5,16.5,14,18.5,14.5,12,12.5,10.5,17,19.5,15,19.5,12,16,11,17,12,19,19.5,17.5,19,12,18.5,18.5,11.5,17.5,10.5,19,19,17,13.5,19.5,12,12,17,11.5,19.5,14.5,19.5,13,10,11,13,13,11.5,17,19,14,10.5,19.5,17,16.5,19,13,16.5,18.5,10.5,18.5,14,12.5,12.5,11.5,17,15.5,11.5,13.5,17.5,18,15,14,11.5,18.5,18,15,18
Ch196,11.5,13.5,11.5,19,17,16,11.5,12.5,11.5,16.5,15,10.5,18.5,17.5,13,13,10.5,19,12.5,19,19,12,15.5,13.5,10.5,19.5,12,10,16.5,10.5,13.5,15,19.5,19,11,17,15.5,18,16,16,17,16,19.5,18.5,15.5,16,10.5,18,16,19.5,11.5,16.5,12.5,15.5,12.5,12.5,19.5,18,12,14.5,14,12,12,15,19,18.5,11,12.5,16.5,13.5,19,17,19.5,17,10,18.5,10.5,14.5,12.5,14.5,12,19,18.5,15,11,19.5,16.5,12.5,13,19.5,18,14.5,18.5,11.5,12.5,11,16,17.5,15.5,16.5,18.5,16.5,14.5,11.5,18.5,13,12,13,13,19,18,14,14.5,12.5,12.5,18.5,11.5,16.5,15.5,18,12.5,19,10,18,11.5,11,19,17.5,10,14,19.5,12.5,14,18,19.5,19.5,16.5,12.5,13,17,17.5,13.5,18,16,15.5,17,11
Ch8,11.5,19.5,18.5,15.5,12.5,10.5,16,13.5,10,10,10,12.5,12.5,14,13.5,14.5,13,12,19,17,13,11.5,17.5,12.5,15.5,18.5,13.5,10.5,18.5,17,18,15.5,19.5,17.5,18,12.5,19,10,13.5,16,12.5,13.5,16.5,16,19,12,15,10.5,12.5,15,18.5,11,15.5,19,16,12,15.5,10.5,19,15.5,19.5,18,13.5,10.5,18,13,10,16,13,16.5,18,12,12.5,16.5,12.5,10.5,15,11,17,19.5,18,19.5,18.5,11,16.5,12.5,19,10,15,17.5,10,15.5,14,15,15.5,10.5,18,13,17,14,19.5,17.5,19.5,17.5,18.5,11.5,19,16,17.5,18.5,19,13.5,14,11,15.5,19,14,19.5,15.5,11,10.5,19,12,13,17.5,15.5,11.5,12,18.5,18,11,19.5,16,14,16,15,13.5,17.5,13,13,12,16.5,10.5,18.5,18,17.5,17.5
Ch12,15.5,13.5,16.5,13.5,11.5,19,13.5,10.5,16.5,11.5,15.5,10.5,11,15,18,10.5,17.5,13.5,18,13,18,13,14.5,15.5,14,12,14,13.5,14,12,17.5,11,17.5,14,16.5,10,10,11,18,18,17.5,14.5,15,12,14.5,14,15,18.5,17,15.5,15.5,15.5,19,19.5,12.5,11,16.5,17,17.5,11.5,18,16.5,15.5,14.5,11,15,19,14,13.5,16.5,18,11,11.5,14,19.5,19,10,19.5,17.5,16,14,15.5,14.5,13.5,12,17.5,13.5,18,19,10,17.5,16,14.5,11.5,18.5,10,13,12.5,16.5,17.5,19,10.5,10,14.5,16,17.5,18.5,14.5,18.5,16.5,12,15,13,17.5,13,18.5,13,19.5,17.5,15,17.5,13.5,12,12.5,15,18,19,16.5,18,18.5,18,17.5,17,18,13.5,11,14,10.5,13.5,18,14.5,12.5,11.5,15,10.5,11.5,11.5
Ch16,11.5,17,18.5,13,13.5,11,14.5,18,12,19,13,12,19.5,14,13,13.5,15.5,13.5,16,10,10,14,11.5,15,19,17,14.5,19.5,13.5,18,13,13,15.5,12.5,14,10,18.5,12.5,12.5,16.5,19,13.5,18.5,17,13,13.5,16,14.5,14,13.5,10,14.5,13,11,18,12.5,10.5,14,15.5,11.5,11.5,11.5,13.5,16,16,19,16.5,10,10.5,18,18,13.5,18.5,19.5,12,12,18,17.5,14,17,16.5,10.5,19,11,19.5,16,12.5,10.5,10,10.5,18,17,18,13.5,17,12,16,11.5,15.5,19,17.5,15.5,11.5,18.5,15.5,13,11.5,16,15.5,17.5,17,18,18.5,19.5,15,18,11,19.5,16,18,14.5,10.5,12.5,15,16,16.5,17,18,16.5,18,13,10,11.5,15.5,18,14.5,12,14,19,14,17.5,16.5,10,13,19,18.5,17.5
Ch36,11,10.5,14,17,14.5,12,11.5,18,12.5,10.5,11.5,15,14.5,15.5,17.5,19.5,12,11,14,16,16.5,19.5,12.5,11.5,16,18.5,18,16.5,19,15,12,19,18,13,16.5,11.5,18,15.5,14,18.5,17,14.5,11.5,10,10,19.5,15,17.5,11.5,11,10,11,12,10.5,10.5,14.5,14.5,19.5,14,15.5,10.5,17.5,10,18.5,14.5,13.5,18,16,12,10,19.5,11.5,16.5,18,12,18.5,18,19,11.5,13.5,12,10,12.5,11,11,17,15,10,16,18.5,16.5,19,18.5,10.5,12.5,19.5,15,19,17.5,16,15.5,16,12,14,13,14,17,10.5,18.5,10,10.5,13,19,13,17.5,10.5,16.5,14,14.5,16.5,11.5,14,14,17.5,14.5,19,15,19,13.5,16.5,16,17,17,12,11.5,12.5,12.5,10.5,18.5,16.5,17,14.5,18,13,19,13,11
Ch40,17,13,18,12,17.5,11.5,18.5,12.5,19,13,18.5,13.5,17.5,14,18.5,11.5,16,14.5,17,15,18,12.5,14.5,13,12,15.5,17.5,12,14,10,14.5,11.5,10.5,17.5,14.5,19,13.5,16,12,17,15.5,16,19.5,19,10,19,19.5,10,17,19.5,19.5,13.5,12,19,18,13,11.5,12,10.5,17.5,19.5,15,19.5,10,17,14,11.5,16.5,12,19.5,19.5,17,17.5,14.5,15,18.5,11,14,11,16,12.5,14,14.5,14,13.5,17.5,14.5,14,18.5,15,15.5,17,10,16.5,13.5,12.5,12.5,11.5,18.5,11.5,12.5,11,14,12,19.5,16.5,10,11,17.5,18,18.5,10,19,11,12,11.5,17,15,10.5,14,18.5,16.5,18.5,12,13,15,11.5,10.5,19.5,13.5,17,18,19.5,17.5,16,18.5,10.5,12,18.5,12.5,19.5,17,19.5,15,11,14.5,17.5
