# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 2.4G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch11,12.5,19.5,10,19,10,17.5,17.5,12.5,14.5,10,17.5,12,16,14,15,12,10,13,10,11,18,10,21,20,18.5,13,14,14,11.5,17.5,10.5,17.5,13,10.5,21,20,15,11.5,13,16.5,15.5,13,10.5,19,17,19.5,10,21,20,14.5,15,11,15.5,17,16.5,14,17,12,10,21,20,15,16.5,19.5,12.5,17.5,11,10.5,15,14.5,16.5,17.5,14.5,17,14,12,18.5,17,11.5,15,11.5,19,11.5,16.5,16,11.5,17.5,14.5,14.5,17,16.5,16.5,16.5,19.5,15,12.5,10,15.5,10,19,19.5,17.5,10.5,15.5,18,17,14,15.5,14.5,14,18.5,12.5,16.5,11.5,13,19.5,17.5,12,10.5,14,10.5,14.5,12,15,16.5,18.5,19.5,18,18,14.5,18,12,13,12.5,14,16.5,17,17,11.5,11,18,16.5,17.5,11,12
Ch12,10,16,15.5,14.5,16.5,16.5,14.5,17.5,10,14,17,11,17.5,15.5,19.5,14,14,15,15.5,17,16,15.5,21,20,17.5,15.5,14,19,13,14.5,12.5,13.5,17,18.5,21,20,18,10,18,18.5,12,12,14.5,17,13.5,15.5,12,21,20,14.5,11,10.5,19,12,12.5,15.5,11.5,10,10.5,21,20,18,12,12,13,12,11.5,19,13,17,18.5,10.5,18.5,11.5,18,15.5,17.5,17,18.5,12.5,11.5,16,19,17.5,17,19.5,17,13.5,17,14,18.5,19.5,18.5,17,12,19.5,11,10,12,12,13.5,13,19.5,17,11,13.5,17.5,18.5,10.5,13.5,14,12.5,11.5,16,16,11.5,16,11.5,11,10,11,15.5,13,11.5,12,18,17,12,15,12,12.5,15.5,12,17.5,11.5,10,19.5,14,12.5,12,15,17,16.5,16,16
Ch13,14.5,13,14,17,13.5,16,11.5,17.5,15,12.5,17,18.5,11,17.5,18,14,16,12.5,18,15.5,18,16,21,20,18.5,13,17.5,11,10.5,19.5,19.5,10,19,10,21,20,14.5,14.5,12,18.5,11.5,19,18,19.5,16,17.5,16.5,21,20,10.5,13,16.5,14.5,13.5,14,17,18,11.5,16,21,20,12.5,19.5,13,12,10.5,13.5,14.5,14,17,12,18,18.5,13,18,13.5,18,12,15.5,19.5,11.5,12,10,10,13.5,19.5,19,11,14,10.5,18.5,12.5,10.5,19.5,10.5,17,13,17,17,11,19,13,17,13,16,14,10,15,12,11,10.5,10,19.5,14.5,14.5,18.5,14.5,17.5,17,11,12,17,17,18,14,14,17.5,15,17,12,16,13.5,18,17,15,12,17,18,18,10,11.5,12.5,15.5,15.5,10
Ch14,18,17,16,16.5,17.5,12,13,15,14.5,13,13,19,16.5,14.5,16,10,12.5,16,12.5,18.5,11.5,15,21,20,18.5,19.5,17,19.5,14,14,17,16.5,11,17.5,21,20,16.5,19,14.5,18.5,13.5,14,12,16,18.5,16.5,11,21,20,15.5,18.5,11.5,14,11.5,17.5,10.5,11,10,17,21,20,15.5,13.5,17,19,15.5,17.5,19.5,10.5,12.5,18.5,14,18.5,16,12.5,16,13,19.5,18,10.5,14.5,15.5,15,18.5,11,11,10,17,18,10.5,14.5,16,15.5,13.5,18,15,19.5,16.5,10.5,12,19,14,17,16.5,17,14,14.5,19.5,12,10,17,12,17.5,15,12.5,18,17.5,16,19,17,14.5,15,14,10.5,14.5,17,11.5,16,15.5,12,13,18,15,11,14,16,14.5,12,10,11.5,10.5,16.5,16.5,11,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,RU26,,,,,,,,,,,,RU52,,,,,,,,,,,,RU106,,,,,,,,,,,,RU242,,,,,,,,,,,,RU484,,,,,,,,,,,,RU996,,,,,,,,,,,,RU996X2,,,,,,,,,,,
Band: 5G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,HT40_MCS32,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
Ch184,15.5,16.5,19,11,18,15,12,17,12,10.5,12.5,18.5,13,19.5,16,10,19.5,16,15,11,19,18,21,20,12.5,13,15,13,14,10.5,15.5,11,15.5,11,21,20,15,17.5,11,16.5,13,11,12.5,10.5,19,11.5,15,21,20,17,14.5,10,18.5,16.5,16,19.5,15,13,11,21,20,13.5,14,10.5,17,17,16.5,12.5,11.5,18,19.5,13.5,15.5,16.5,10,12,13,16,14.5,18,11.5,17.5,14.5,15.5,10.5,10.5,16.5,17,14.5,11.5,13,11,10,14.5,14,18,11.5,10,14.5,19,10.5,11,11.5,18,10,13,13.5,11,11.5,14,19,12,12.5,15,12.5,17,19.5,11.5,10.5,18,13,19,16,10.5,17.5,11,10.5,18,16,14.5,14,10,10,13,19,19.5,13.5,17,19,14.5,19.5,15,13,13,18
Ch188,16,10.5,14.5,17,14.5,16.5,11,14,19.5,17.5,12,16,19.5,16.5,19,17,13,17.5,14,19,16.5,15.5,21,20,19,10,11,12,17.5,12,18.5,14,18.5,14,21,20,11.5,15.5,11.5,13,14,10.5,16.5,18.5,17.5,16,15.5,21,20,11,11.5,13,11,12,19,12.5,10,13.5,15.5,21,20,16,19.5,14,15,13,12.5,10,17.5,13.5,18,14,12,18.5,16,17.5,17,17,10.5,10,14,19.5,17.5,10,14,12.5,11,16,18.5,15.5,13,18,15,14.5,14.5,19,16,14.5,12,19.5,14.5,17,14.5,13.5,15.5,13.5,19.5,13,19.5,16,16,10,12.5,18.5,10,16,17,13,12,18.5,18.5,16,12.5,10,10.5,17,18,17,19.5,11.5,18.5,15.5,17.5,12,14,18,10.5,11.5,11,12.5,16.5,16.5,12,15,11
Ch192,19.5,16,12,14.5,17,16.5,11.5,18,11,11,14.5,19,17.5,15,10,13,18,18.5,19,11.5,12,10,21,20,12,11,15.5,16,16,18,16.5,15,13.5,15,21,20,19.5,11,13,11,17,11,15,14,17,19,11,21,20,16.5,17.5,11.5,11,15.5,18.5,17.5,18.5,11.5,18,21,20,12,11.5,12,10.5,11.5,14.5,18.5,16,10,18.5,18,14.5,19.5,10,11,13,17,10.5,16.5,15.5,19.5,11.5,19,11,19,16.5,13.5,18.5,13,19.5,11,13.5,10,13.5,18.5,19.5,17.5,18.5,16.5,15.5,15.5,19.5,17.5,15.5,19,16.5,18,15.5,10.5,16,16,12.5,16,17,19.5,18.5,13.5,12.5,19.5,14.5,17.5,15.5,10.5,15,16,19.5,19,18.5,14.5,11,14,11,19,19,13.5,19,10,11,19,11,11,17,15,14
Ch196,13.5,18.5,14.5,12,11,16,19,19.5,17.5,12.5,10.5,11.5,17.5,19,17,10.5,15,12.5,16,11.5,14.5,18.5,21,20,14.5,16.5,12,11.5,14,16.5,11.5,15,12,17,21,20,14.5,14,11.5,10.5,16.5,19.5,19,19.5,13.5,19,11,21,20,15,12,18,10.5,13,19,16,15,18.5,15,21,20,10,17,18.5,17,19.5,17,12.5,17,10,15.5,16.5,11,13.5,17,16.5,15,12,12,11,14.5,18.5,17.5,17,13,18,18.5,18,18.5,18.5,16,17,13.5,17.5,16.5,11.5,10.5,12,14.5,14,10,13.5,17,14,14.5,17.5,12,18,19.5,19.5,16.5,14,11.5,17,19.5,17,19.5,12.5,19,17.5,14.5,12.5,16,16,10,14.5,18.5,13.5,11,18.5,13,14.5,16.5,16.5,11.5,17.5,19,15.5,14.5,14.5,11,18,17.5,16.5,12.5
Ch8,14.5,14.5,19,18,12.5,19,14,19,18,18.5,18.5,15,10,14,16,15.5,17,11,13.5,14,14.5,13.5,21,20,15.5,15.5,18.5,14.5,11.5,17,12,17.5,10.5,16.5,21,20,10,14,18.5,19,18,11.5,13.5,14,14,12,13,21,20,18.5,19,13.5,12.5,10,13,18.5,12,18.5,15.5,21,20,19,10.5,18.5,19,14.5,19.5,16,16,16.5,18,15.5,12,16,19,17,16,11.5,14,19,16.5,12,12.5,12,17.5,13.5,17,18.5,15,16,13.5,17,10.5,11.5,10.5,15,15,12.5,19,12.5,18.5,15,15.5,11.5,17.5,17.5,11,19,12.5,10.5,15,16,15,19,18,18,16.5,10,12,11,15,14.5,18,14.5,15.5,17,10,15.5,19.5,13,14,11.5,19.5,18.5,18,12,10.5,13.5,10.5,16,11,15.5,15.5,19,13.5
Ch12,17.5,14.5,14.5,17.5,10.5,12.5,13,16,15,12.5,18.5,15,10,17.5,18,12,19,12,19.5,15.5,14.5,18,21,20,14,17.5,13,16,12.5,17.5,17.5,19,18,17.5,21,20,16,14,14,12,18.5,12.5,16,17.5,11.5,19,19,21,20,11,11,12,13,18.5,16.5,19,18.5,18.5,19.5,21,20,10,17,11,16,14.5,11.5,16.5,17.5,12,15.5,14,11,13.5,13.5,17.5,13,17.5,11,12,18.5,11,15.5,12.5,11.5,14,11.5,14.5,13,18,13.5,16,13.5,11.5,13.5,18,15.5,13.5,13.5,17.5,14.5,16,15.5,10,16,11.5,14.5,12,11.5,19.5,13.5,18.5,15,12.5,17,10,11.5,14.5,11,16,11,11.5,18.5,17,16.5,15,14.5,17.5,17,16,17.5,18,11.5,11,14.5,15,16.5,19.5,13.5,15,17,11,17,19.5,18
Ch16,17.5,12.5,16.5,18,19.5,12.5,19.5,19,13,13.5,10,17,14.5,15,13.5,15.5,17.5,12,18,13.5,18,10.5,21,20,13.5,19,18,11.5,15.5,14.5,11,11,19,14,21,20,14,15,16.5,17.5,19,10,15,19,12,11.5,11.5,21,20,10.5,11,11.5,18.5,16.5,15,10,14,17.5,10.5,21,20,17.5,19,11.5,10,13.5,12.5,10.5,16,15.5,10,14,15.5,13,10.5,15,11,18,16,19,11.5,15.5,12.5,12.5,19,17.5,11.5,13,19.5,11.5,10.5,15.5,13.5,11.5,14.5,16,16,11,18,17.5,13,10.5,14.5,15,16,10,10,11.5,18,16.5,16,19.5,17.5,14,17,10,15.5,10.5,17.5,18.5,12.5,13.5,11,14,14,15,18,19,15.5,16.5,14,15.5,19.5,12.5,14,13.5,16,12.5,14.5,18.5,11,10.5,16,13.5,12.5
Ch36,13.5,18.5,14.5,17,17,13,14.5,11,14.5,13,15,14,18,14,18,17,15,15,11,13.5,13.5,11,21,20,16.5,16.5,18.5,11.5,19.5,17.5,12.5,15.5,17,15,21,20,10.5,10,11.5,10.5,10,14.5,11.5,16.5,15,10.5,14.5,21,20,16,16.5,13,17.5,14,15.5,16,16,13,14,21,20,19,15,18,16.5,17.5,17.5,12,18,19,18,18,18.5,10.5,18.5,13.5,15,12,18,17.5,15.5,17,11,10,11,12,13,17.5,11.5,10.5,11,15.5,19,12.5,10.5,11.5,13,15,14.5,15,13,10,11,19.5,18,10.5,14.5,11.5,16.5,10.5,13,14.5,13.5,16.5,16,13,13.5,15,15.5,11,19,11.5,10.5,14.5,10.5,15,18,13,19.5,17,14.5,19,16.5,13.5,11,11.5,13,16,19.5,19,19.5,18,15,19,18.5
Ch40,14.5,10.5,15.5,13.5,15.5,15.5,14,12,13.5,17,16,14.5,18,15,19,11,12,15.5,17,12.5,14,10.5,21,20,11.5,12,19,11.5,19,18.5,12.5,19.5,15,18,21,20,18.5,17,16.5,11.5,17,18,17.5,19,18.5,11.5,15,21,20,12.5,11.5,10.5,11.5,19,12.5,13,19.5,10,17,21,20,15,10,11.5,18.5,16,15.5,15,10,15,15.5,12,15,15,15,16.5,13.5,17,15.5,11,10,11,10,16.5,16.5,15,13,16.5,10,18,15.5,11,11,16.5,14.5,14,18,12.5,11,19,13,14,13.5,11.5,17.5,15,15,14,19,10,11,16.5,19.5,12,17,12.5,19.5,10,16.5,10.5,12.5,10.5,19,10,13.5,12,19.5,16,10.5,13.5,13,18.5,18.5,17,14.5,16.5,16.5,14,10,16,16.5,15,12.5,14,13.5
Ch44,17,18,17.5,13.5,19,17,16,11.5,11.5,14.5,15.5,19,11,10,16.5,14.5,13,10.5,14,17.5,18.5,11.5,21,20,10,13,14.5,18.5,13.5,10,15.5,16,15.5,11.5,21,20,12.5,10,14,10,15.5,11.5,16.5,12,15,14.5,14.5,21,20,15.5,12,11,16.5,19,18,12,15,13.5,13.5,21,20,16.5,13,12.5,15,18,11.5,10.5,13.5,16.5,14.5,14,13.5,14,13.5,18.5,18.5,16.5,16,17.5,17.5,19,10.5,16,16.5,11.5,14,15.5,14,17,11,12.5,19,18,13,11,17.5,13,15.5,11,19,11,10.5,18,12,17.5,13,14.5,12.5,17,16.5,18.5,16,10,10,16.5,15.5,16.5,19.5,18,12.5,18.5,10.5,13.5,17,10,18,16.5,18.5,10.5,13.5,17.5,15.5,13,14,12.5,10.5,14,10,10,17,19.5,14,15,13
Ch48,14.5,19,10.5,11.5,11,15.5,11.5,11.5,15,18.5,10,11,18,13.5,17.5,19.5,13,10,17.5,13,12.5,18,21,20,18.5,19,16.5,18,17.5,17.5,15.5,10,13,11.5,21,20,18,13,13,15,11,17,12,13.5,16.5,16,10,21,20,16,12,12.5,19.5,10.5,15,16,19.5,18,13,21,20,11.5,10.5,12,19.5,17.5,15.5,12,15,11.5,14,12.5,16.5,18.5,18.5,11.5,11.5,14.5,11.5,11,11,17,15.5,14.5,10.5,11.5,18.5,12,14.5,19.5,18,18,12,18,18.5,10,18.5,13,11,19.5,13.5,16.5,13,12.5,18.5,13.5,13,17.5,10.5,18.5,13,15,13,12,18,10,14.5,18.5,11,15.5,13.5,14,11.5,14,15,19.5,16,15.5,18.5,12,15,14.5,16.5,17,15.5,14.5,16,17.5,13.5,14,13,14.5,11,12.5,16.5
Ch52,18.5,19,14,19,15,18.5,10,17.5,11,13.5,11,13,17.5,12.5,10,19.5,11,11.5,10,13.5,15,10.5,21,20,17,10.5,10.5,17,19.5,16,17,16.5,10.5,17.5,21,20,14.5,15,13.5,17.5,10,16.5,14,13,17,10.5,15,21,20,19.5,14.5,19.5,15.5,12.5,16,15,10.5,17.5,18.5,21,20,18.5,10,15.5,11.5,14,15.5,15,13.5,11,18,16.5,11,11.5,16.5,13.5,15,13.5,17,11.5,15.5,16.5,19,19.5,17,11.5,19,12.5,10.5,16,11.5,18.5,16,10,15.5,11.5,16.5,19,18.5,17,13,14.5,17,15,17.5,11,18.5,17,16,19,19,17.5,17,18,15.5,12.5,10,11,11,14.5,12,14.5,16.5,19.5,19.5,13,18,14.5,19,19.5,12.5,17.5,18.5,12.5,19,12.5,10,14.5,17.5,17,15,17.5,16.5,14.5,10.5
