Ch96 13  20  13  11 17 8 18  8  17  14 18 9 13 16  19  13  20 11 19 19 17  12  8  20 9 14 18 10  8  20  13 14 16 1 3 6 6 3 1 0
Ch100 13  20  11  13 20 14 15  13  20  20 13 16 14 9  20  10  18 18 14 12 20  17  20  8 12 14 19 20  15  17  20 10 9 1 3 6 6 3 1 0
Ch104 9  19  10  17 12 9 12  14  17  10 13 14 15 16  19  8  10 8 9 17 11  13  10  16 17 20 10 11  17  18  10 8 17 1 3 6 6 3 1 0
Ch108 15  14  16  17 12 11 13  16  14  10 12 16 17 12  12  17  18 10 14 18 13  13  16  10 16 20 9 20  14  8  8 12 13 1 3 6 6 3 1 0
Ch112 11  13  19  14 8 10 16  10  11  16 13 20 13 14  10  14  8 13 17 12 16  16  10  16 11 17 19 12  19  16  18 11 10 1 3 6 6 3 1 0
Ch116 8  15  16  13 11 11 12  11  8  9 15 12 8 9  16  20  18 14 11 17 13  15  9  8 11 16 20 13  11  14  13 16 9 1 3 6 6 3 1 0
Ch120 9  19  12  11 15 17 11  16  8  11 8 14 17 17  14  15  16 11 19 14 20  9  14  15 19 15 19 11  20  18  13 17 11 1 3 6 6 3 1 0
Ch124 11  16  15  17 11 14 18  11  14  10 8 14 18 17  11  17  15 18 15 15 10  11  18  18 16 13 10 10  18  17  20 13 15 1 3 6 6 3 1 0
Ch128 8  13  14  17 10 19 15  9  11  11 17 20 11 20  11  12  18 14 8 16 18  12  18  16 12 8 20 14  17  14  19 14 14 1 3 6 6 3 1 0
Ch132 10  18  8  11 16 17 18  11  10  8 10 14 17 9  13  12  18 20 11 19 17  12  14  13 17 17 13 19  16  8  10 10 11 1 3 6 6 3 1 0
Ch136 13  17  10  11 8 20 11  11  19  20 12 14 11 12  16  10  9 18 16 11 19  14  19  12 11 13 13 17  18  19  14 18 18 1 3 6 6 3 1 0
Ch140 17  11  19  17 14 14 12  15  16  12 20 8 8 18  13  10  18 17 10 19 18  17  12  17 15 12 13 14  8  18  11 12 16 1 3 6 6 3 1 0
Ch144 9  18  13  8 11 14 17  18  16  17 10 17 14 8  13  20  20 14 11 16 9  14  16  19 18 14 9 18  12  19  16 11 16 1 3 6 6 3 1 0
Ch149 17  10  11  8 18 20 16  13  18  19 19 9 16 9  16  13  16 18 14 11 14  20  9  17 18 10 14 10  20  10  11 13 9 1 3 6 6 3 1 0
Ch153 14  13  16  19 9 12 16  15  20  18 14 13 17 11  11  19  9 12 9 8 9  11  11  9 12 14 20 8  16  11  15 16 16 1 3 6 6 3 1 0
Ch157 11  18  19  15 20 8 14  19  17  12 15 16 13 13  19  9  20 12 17 20 12  11  8  14 13 18 14 12  12  13  13 19 20 1 3 6 6 3 1 0
Ch161 10  17  14  17 11 19 20  18  8  17 10 18 17 18  17  8  9 18 16 14 9  20  19  12 15 12 15 11  12  19  10 20 18 1 3 6 6 3 1 0
Ch165 11  10  12  16 13 11 12  16  11  11 15 11 20 20  10  15  8 20 17 9 15  12  16  18 17 8 14 10  19  12  17 17 20 1 3 6 6 3 1 0
Ch169 17  19  12  20 13 17 15  16  18  11 8 17 9 15  12  16  18 12 17 8 15  17  19  8 11 10 18 16  16  20  12 16 13 1 3 6 6 3 1 0
Ch173 19  17  14  14 18 20 13  9  11  18 19 11 15 13  8  20  20 20 15 14 17  12  19  20 15 16 17 17  12  8  12 16 9 1 3 6 6 3 1 0
Ch177 8  17  10  13 12 18 18  18  17  12 10 19 11 8  16  18  13 9 18 13 8  14  11  9 12 14 11 15  13  14  13 19 16 1 3 6 6 3 1 0
Ch181 20  19  19  8 12 14 14  12  20  16 13 10 19 11  8  18  10 9 15 11 12  12  14  19 18 18 20 20  14  14  17 14 14 1 3 6 6 3 1 0
